
2, Atom => NUMBER, Factor, Value, 1.0
2, Exp => Exp:EXP:Unary, Expr, Expr, 0.2
2, Exp => Exp:EXP:Unary, Expr, Term, 0.0460969044415
2, Exp => Exp:EXP:Unary, Exp, Term, 0.0289855072464
2, Exp => Exp:EXP:Unary, Factor, Expr, 0.037037037037
2, Exp => Exp:EXP:Unary, Factor, Term, 0.0485436893204
2, Exp => Exp:EXP:Unary, Factor, Value, 0.103448275862
2, Exp => Exp:EXP:Unary, PostUnary, Factor, 0.0581395348837
2, Exp => Exp:EXP:Unary, Term, Exp, 0.052380952381
2, Exp => Exp:EXP:Unary, Term, Term, 0.0328888888889
2, Exp => Exp:EXP:Unary, Value, Vector, 0.166666666667
2, Exp => Exp:EXP:Unary, Vector, Expr, 0.3
2, Exp => Exp:EXP:Unary, Vector, Term, 0.166666666667
2, Exp => Exp:EXP:Unary, Vector, Vector, 1.0
2, Exp => Unary, Exp, Exp, 1.0
2, Exp => Unary, Expr, Exp, 1.0
2, Exp => Unary, Expr, Expr, 0.8
2, Exp => Unary, Expr, Term, 0.953903095559
2, Exp => Unary, Exp, Term, 0.971014492754
2, Exp => Unary, Factor, Exp, 1.0
2, Exp => Unary, Factor, Expr, 0.962962962963
2, Exp => Unary, Factor, Term, 0.95145631068
2, Exp => Unary, Factor, Value, 0.896551724138
2, Exp => Unary, Log, Term, 1.0
2, Exp => Unary, Matrix, Vector, 1.0
2, Exp => Unary, PostUnary, Factor, 0.941860465116
2, Exp => Unary, Term, Exp, 0.947619047619
2, Exp => Unary, Term, Expr, 1.0
2, Exp => Unary, Term, Term, 0.967111111111
2, Exp => Unary, Value, Exp, 1.0
2, Exp => Unary, Value, Log, 1.0
2, Exp => Unary, Value, Term, 1.0
2, Exp => Unary, Value, Vector, 0.833333333333
2, Exp => Unary, Vector, Exp, 1.0
2, Exp => Unary, Vector, Expr, 0.7
2, Exp => Unary, Vector, Term, 0.833333333333
2, Expr => Expr:DASH:Term, Exp, Exp, 0.75
2, Expr => Expr:DASH:Term, Exp, Expr, 0.138888888889
2, Expr => Expr:DASH:Term, Expr, Expr, 0.147869674185
2, Expr => Expr:DASH:Term, Expr, Term, 0.166666666667
2, Expr => Expr:DASH:Term, Expr, Vector, 1.0
2, Expr => Expr:DASH:Term, Exp, Term, 0.5
2, Expr => Expr:DASH:Term, Factor, Exp, 0.333333333333
2, Expr => Expr:DASH:Term, Factor, Expr, 0.114624505929
2, Expr => Expr:DASH:Term, Factor, Value, 0.25
2, Expr => Expr:DASH:Term, Log, Expr, 0.111111111111
2, Expr => Expr:DASH:Term, Matrix, Vector, 0.190909090909
2, Expr => Expr:DASH:Term, None, Expr, 0.16393442623
2, Expr => Expr:DASH:Term, None, None, 0.1575
2, Expr => Expr:DASH:Term, PostUnary, Factor, 0.180740740741
2, Expr => Expr:DASH:Term, Term, Exp, 0.171052631579
2, Expr => Expr:DASH:Term, Term, Expr, 0.1640625
2, Expr => Expr:DASH:Term, Term, Term, 0.1875
2, Expr => Expr:DASH:Term, Value, Expr, 0.1875
2, Expr => Expr:DASH:Term, Value, Log, 0.127659574468
2, Expr => Expr:DASH:Term, Value, Vector, 0.126984126984
2, Expr => Expr:DASH:Term, Vector, Expr, 0.1875
2, Expr => Expr:DASH:Term, Vector, Vector, 0.14453125
2, Expr => Expr:PLUS:Term, Exp, Expr, 0.166666666667
2, Expr => Expr:PLUS:Term, Expr, Expr, 0.117794486216
2, Expr => Expr:PLUS:Term, Expr, Term, 0.143939393939
2, Expr => Expr:PLUS:Term, Factor, Exp, 0.166666666667
2, Expr => Expr:PLUS:Term, Factor, Expr, 0.150197628458
2, Expr => Expr:PLUS:Term, Factor, Value, 0.25
2, Expr => Expr:PLUS:Term, Log, Expr, 0.111111111111
2, Expr => Expr:PLUS:Term, Matrix, Vector, 0.127272727273
2, Expr => Expr:PLUS:Term, None, Expr, 0.0819672131148
2, Expr => Expr:PLUS:Term, None, None, 0.1475
2, Expr => Expr:PLUS:Term, PostUnary, Factor, 0.108148148148
2, Expr => Expr:PLUS:Term, Term, Exp, 0.118421052632
2, Expr => Expr:PLUS:Term, Term, Expr, 0.1484375
2, Expr => Expr:PLUS:Term, Term, Term, 0.0625
2, Expr => Expr:PLUS:Term, Value, Expr, 0.125
2, Expr => Expr:PLUS:Term, Value, Log, 0.0425531914894
2, Expr => Expr:PLUS:Term, Value, Vector, 0.134920634921
2, Expr => Expr:PLUS:Term, Vector, Expr, 0.102941176471
2, Expr => Expr:PLUS:Term, Vector, Vector, 0.109375
2, Expr => Term, Exp, Exp, 0.25
2, Expr => Term, Exp, Expr, 0.694444444444
2, Expr => Term, Expr, Exp, 1.0
2, Expr => Term, Expr, Expr, 0.734335839599
2, Expr => Term, Expr, Term, 0.689393939394
2, Expr => Term, Exp, Term, 0.5
2, Expr => Term, Exp, Vector, 1.0
2, Expr => Term, Factor, Exp, 0.5
2, Expr => Term, Factor, Expr, 0.735177865613
2, Expr => Term, Factor, Term, 1.0
2, Expr => Term, Factor, Value, 0.5
2, Expr => Term, Log, Expr, 0.777777777778
2, Expr => Term, Matrix, Vector, 0.681818181818
2, Expr => Term, None, Expr, 0.754098360656
2, Expr => Term, None, None, 0.695
2, Expr => Term, PostUnary, Factor, 0.711111111111
2, Expr => Term, Term, Exp, 0.710526315789
2, Expr => Term, Term, Expr, 0.6875
2, Expr => Term, Term, Term, 0.75
2, Expr => Term, Value, Expr, 0.6875
2, Expr => Term, Value, Log, 0.829787234043
2, Expr => Term, Value, Term, 1.0
2, Expr => Term, Value, Vector, 0.738095238095
2, Expr => Term, Vector, Expr, 0.709558823529
2, Expr => Term, Vector, Term, 1.0
2, Expr => Term, Vector, Vector, 0.74609375
